source,relation,target
Z26365442,binds,nsp1
Z336089202,binds,nsp1
Z57515803,binds,nsp1
Z1891776064,binds,nsp1
Z57328997,binds,nsp1
Z2527301677,binds,_GHM_nsp5
Z1263529721,binds,_GHM_nsp5
Z275165822,binds,_GHM_nsp5
Z933326822,binds,_GHM_nsp5
Z85517292,binds,_GHM_nsp5
Z208334100,binds,_GHM_nsp5
Z437584380,binds,_GHM_nsp5
Z979145504,binds,_GHM_nsp5
Z1673618163,binds,_GHM_nsp5
Z69092635,binds,_GHM_nsp5
Z123970702,binds,_GHM_nsp5
Z1891776064,binds,_GHM_nsp5
Z223388508,binds,_GHM_nsp5
Z57792053,binds,_GHM_nsp5
Z26365442,binds,_GHM_nsp5
Z336089202,binds,_GHM_nsp5
Z1741973467,binds,_GHM_nsp5
Z28226359,binds,_GHM_nsp5
Z44592329,binds,_GHM_nsp5
Z26333434,binds,_GHM_nsp5
Z165170770,binds,_GHM_nsp5
Z907784200,binds,_GHM_nsp5
Z822382694,binds,_GHM_nsp5
Z31792168,binds,_GHM_nsp5
Z2856434834,binds,_GHM_nsp5
Z296054478,binds,_GHM_nsp5
Z56785490,binds,_GHM_nsp5
Z1374778753,binds,_GHM_nsp5
Z48847594,binds,_GHM_nsp5
Z58982727,binds,_GHM_nsp5
Z48847639,binds,_GHM_nsp5
Z363104204,binds,_GHM_nsp5
Z45617795,binds,_GHM_nsp5
Z2064107709,binds,_GHM_nsp5
Z735557654,binds,_GHM_nsp5
Z56259166,binds,_GHM_nsp5
Z136583524,binds,nsp3e
Z145119960,binds,nsp3e
Z52425517,binds,nsp3e
Z2856434839,binds,nsp3e
Z1148747945,binds,nsp3e
Z111507846,binds,nsp3e
Z86417414,binds,nsp3e
Z815264062,binds,nsp3e
Z45656995,binds,nsp3e
Z57261895,binds,nsp3e
Z1310876699,binds,nsp3e
Z2856434887,binds,nsp3e
Z2856434855,binds,nsp3e
Z57190020,binds,nsp3e
Z281802060,binds,nsp3e
Z1262327505,binds,nsp3e
Z1250132788,binds,nsp3e
Z2856434812,binds,nsp3e
Z2856434851,binds,nsp3e
Z321318226,binds,nsp3e
Z2856434816,binds,nsp3e
Z57515803,binds,nsp3a
Z57715447,binds,nsp3a
Z32386228,binds,nsp3a
Z32665176,binds,nsp3a
Z48847639,binds,nsp3a
Z1891776064,binds,nsp3a
Z57328997,binds,nsp3a
Z48847594,binds,nsp3a
Z30891796,binds,nsp3a
Z57190020,binds,nsp3a
Z58982727,binds,nsp3a
Z26365442,binds,nsp3a
Z336089202,binds,nsp3a
Z133729708,binds,nsp3a
Z1374778753,binds,nsp9
Z1891776064,binds,nsp9
Z26365442,binds,nsp7
Z336089202,binds,nsp7
Z28226359,binds,nsp7
Z276545932,binds,nsp7
Z281077318,binds,nsp7
Z56347187,binds,nsp7
Z235449082,binds,nsp7
Z28290384,binds,nsp7
Z136583524,binds,nsp7
Z26333434,binds,nsp7
Z1432018343,binds,nsp7
Z1551999220,binds,nsp7
Z933326822,binds,nsp7
Z30272547,binds,nsp7
Z1429867185,binds,nsp7
Z1262398388,binds,nsp7
Z56983806,binds,nsp7
Z57515803,binds,nsp7
Z57715447,binds,nsp7
Z2204875953,binds,nsp7
Z32386228,binds,nsp7
Z28173817,binds,nsp7
Z68404778,binds,nsp7
Z1430613393,binds,nsp7
Z62645406,binds,nsp7
Z69118333,binds,nsp7
Z85525355,binds,nsp7
Z30891796,binds,nsp7
Z32665176,binds,nsp7
Z89385775,binds,nsp7
Z57190020,binds,nsp7
Z69091635,binds,nsp7
Z44586802,binds,nsp7
Z285675722,binds,nsp7
Z31792168,binds,nsp7
Z123970702,binds,nsp7
Z1374778753,binds,nsp7
Z45516134,binds,nsp7
Z133729708,binds,nsp7
Z48847594,binds,nsp7
Z58982727,binds,nsp7
Z48847633,binds,nsp7
Z48847639,binds,nsp7
Z1891776064,binds,nsp7
Z31222641,binds,nsp7
Z2856434898,binds,nsp7
Z31432226,binds,nsp7
Z1545196403,binds,nsp7
Z2856434812,binds,nsp7
Z57328997,binds,nsp7
Z804566442,binds,nsp7
Z18839017,binds,nsp7
Z30162334,binds,nsp7
Z31480458,binds,nsp7
Z57299529,binds,nsp7
Z31697001,binds,nsp7
Z1217741507,binds,nsp7
Z223388508,binds,nsp7
Z30620520,binds,nsp7
Z419884046,binds,nsp7
Z192955056,binds,nsp7
Z321318226,binds,nsp7
Z1581680287,binds,nsp7
Z64450924,binds,nsp7
Z2064107709,binds,nsp7
Z57792053,binds,nsp7
Z56259166,binds,nsp7
Z19735981,binds,nsp7
Z19751622,binds,nsp7
Z57345491,binds,nsp7
Z426041412,binds,nsp7
Z275165822,binds,nsp7
Z1954800564,binds,nsp7
Z111810692,binds,nsp7
Z296054478,binds,nsp7
Z1328968520,binds,nsp7
Z1349163663,binds,nsp7
Z1416571195,binds,nsp7
Z55671900,binds,nsp7
