source_diagram,source_id,source_name,source_up,source_hgnc,source_type,source_all,interaction_type,target_id,target_name,target_up,target_hgnc,target_type,target_all,reaction_annotation,org_source_id,org_target_id
R-HSA-9678108,R1_32,SARS_minus_CoV_minus_1_space_gRNA:RTC:nascent_space_RNA_space_minus_space_strand,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9682469;urn:miriam:uniprot:P0C6U8;urn:miriam:refseq:NC_004718.3;urn:miriam:reactome:R-COV-9694618;urn:miriam:uniprot:P0C6X7,CONSPUMPTION,R1_368,SARS-CoV-1 gRNA:RTC:nascent RNA minus strand binds RTC inhibitors,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9687388;PUBMED:31645453;PUBMED:32258351;PUBMED:32284326;PUBMED:29511076;PUBMED:32253226;PUBMED:31233808;PUBMED:32094225;PUBMED:28124907,layout_141,reaction_9687388__layout_1410
R-HSA-9678108,R1_38,RTC_space_inhibitors,NA,NA,DRUG,urn:miriam:reactome:R-ALL-9687408,CONSPUMPTION,R1_368,SARS-CoV-1 gRNA:RTC:nascent RNA minus strand binds RTC inhibitors,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9687388;PUBMED:31645453;PUBMED:32258351;PUBMED:32284326;PUBMED:29511076;PUBMED:32253226;PUBMED:31233808;PUBMED:32094225;PUBMED:28124907,layout_1483,reaction_9687388__layout_1410
R-HSA-9678108,R1_368,SARS-CoV-1 gRNA:RTC:nascent RNA minus strand binds RTC inhibitors,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_33,SARS_minus_CoV_minus_1_space_gRNA:RTC:nascent_space_RNA_space_minus_space_strand:RTC_space_inhibitors,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9694327;urn:miriam:uniprot:P0C6U8;urn:miriam:reactome:R-COV-9687385;urn:miriam:refseq:NC_004718.3;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9687388;PUBMED:31645453;PUBMED:32258351;PUBMED:32284326;PUBMED:29511076;PUBMED:32253226;PUBMED:31233808;PUBMED:32094225;PUBMED:28124907,reaction_9687388__layout_1410,layout_1411
R-HSA-9678108,R1_158,pp1ab_minus_nsp13,UNIPROT:P0C6X7,NA,PROTEIN,urn:miriam:reactome:R-COV-9694642;urn:miriam:uniprot:P0C6X7;urn:miriam:reactome:R-COV-9678281,CONSPUMPTION,R1_276,nsp13 binds nsp12,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9682626;PUBMED:31131400;PUBMED:22615777;PUBMED:17520018,layout_32,reaction_9682626__layout_114
R-HSA-9678108,R1_13,nsp7:nsp8:nsp12:nsp14:nsp10,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:reactome:R-COV-9682451;urn:miriam:reactome:R-COV-9694597;urn:miriam:uniprot:P0C6U8;urn:miriam:uniprot:P0C6X7,CONSPUMPTION,R1_276,nsp13 binds nsp12,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9682626;PUBMED:31131400;PUBMED:22615777;PUBMED:17520018,layout_113,reaction_9682626__layout_114
R-HSA-9678108,R1_276,nsp13 binds nsp12,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_14,nsp7:nsp8:nsp12:nsp14:nsp10:nsp13,UNIPROT:P0C6U8;UNIPROT:P0C6X7,NA,COMPLEX,urn:miriam:uniprot:P0C6U8;urn:miriam:reactome:R-COV-9682616;urn:miriam:uniprot:P0C6X7,REACTOME:R-HSA-9682626;PUBMED:31131400;PUBMED:22615777;PUBMED:17520018,reaction_9682626__layout_114,layout_115
R-HSA-9678108,R1_59,GSK3B,UNIPROT:P49841,NA,PROTEIN,urn:miriam:reactome:R-SPO-2997551-3;urn:miriam:reactome:R-XTR-2997551;urn:miriam:reactome:R-SPO-2997551-2;urn:miriam:reactome:R-CEL-2997551;urn:miriam:reactome:R-SSC-2997551;urn:miriam:uniprot:P49841;urn:miriam:reactome:R-BTA-2997551;urn:miriam:reactome:R-SCE-2997551-2;urn:miriam:reactome:R-SCE-2997551-3;urn:miriam:reactome:R-SCE-2997551-4;urn:miriam:reactome:R-DRE-2997551;urn:miriam:reactome:R-SPO-2997551;urn:miriam:reactome:R-HSA-2997551;urn:miriam:reactome:R-DME-2997551;urn:miriam:reactome:R-RNO-198619;urn:miriam:reactome:R-SCE-2997551;urn:miriam:reactome:R-DME-2997551-2;urn:miriam:reactome:R-CEL-2997551-3;urn:miriam:reactome:R-DME-2997551-3;urn:miriam:reactome:R-CEL-2997551-4;urn:miriam:reactome:R-GGA-2997551;urn:miriam:reactome:R-CEL-2997551-2;urn:miriam:reactome:R-CFA-2997551;urn:miriam:reactome:R-MMU-2997551;urn:miriam:reactome:R-DDI-2997551,CONSPUMPTION,R1_370,GSK3B binds GSKi,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9687724;PUBMED:34593624;PUBMED:19666099;PUBMED:19389332;PUBMED:11162580;PUBMED:24931005;PUBMED:18977324;PUBMED:18938143;PUBMED:19106108;PUBMED:18806775,layout_1717,reaction_9687724__layout_1893
R-HSA-9678108,R1_66,GSKi,NA,NA,DRUG,urn:miriam:reactome:R-ALL-9687688;urn:miriam:pubmed:19106108,CONSPUMPTION,R1_370,GSK3B binds GSKi,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9687724;PUBMED:34593624;PUBMED:19666099;PUBMED:19389332;PUBMED:11162580;PUBMED:24931005;PUBMED:18977324;PUBMED:18938143;PUBMED:19106108;PUBMED:18806775,layout_1894,reaction_9687724__layout_1893
R-HSA-9678108,R1_370,GSK3B binds GSKi,NA,NA,STATE_TRANSITION,NA,PRODUCTION,R1_67,GSK3B:GSKi,UNIPROT:P49841,NA,COMPLEX,urn:miriam:reactome:R-HSA-9687663;urn:miriam:uniprot:P49841,REACTOME:R-HSA-9687724;PUBMED:34593624;PUBMED:19666099;PUBMED:19389332;PUBMED:11162580;PUBMED:24931005;PUBMED:18977324;PUBMED:18938143;PUBMED:19106108;PUBMED:18806775,reaction_9687724__layout_1893,layout_1895
R-HSA-9678108,R1_240,glycosylated_minus_ACE2,UNIPROT:Q9BYF1,NA,PROTEIN,urn:miriam:pubmed:14754895;urn:miriam:uniprot:Q9BYF1;urn:miriam:reactome:R-HSA-9683480,CONSPUMPTION,R1_371,glycosylated-ACE2 binds ACE2 inhibitors,NA,NA,STATE_TRANSITION,NA,REACTOME:R-HSA-9695415;PUBMED:32619700;PUBMED:34052578;PUBMED:32345140;PUBMED:33497607;PUBMED:32149769;PUBMED:33609497;PUBMED:33303459;PUBMED:33309272,layout_713,reaction_9695415__layout_2063
