id	pubchem id	smiles
Z30612220		
Z54571979	1487531	CC(=O)NC1=CC=C(C=C1)OC2=NC=CC=N2
Z1359419878	17608697	COC1=CC=CC=C1C2=NN=CO2
Z1891776064	1475797	C1=CC(=C(C=C1N2C=C(N=N2)CO)Cl)Cl
Z58982727	1526486	C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)NN
Z69091635		
Z1673618163		
Z31697001		
Z425449682		
Z235341991	17435100	CC1=CC(=C(C=C1)OC)NC(=O)CN.Cl
Z235449082		
Z1581680287		
Z955369596	49172932	CC(=O)NCC1=C(C=CC(=C1)Br)OC
Z136583524		
Z68404778		
Z45617795		
Z29692148		
Z2574937229		
Z55671900	737356	CC(=O)C1=CC=C(C=C1)OC(F)F
Z102768020	7131170	CNCC1=CN(N=C1)C2=CC=CC=C2
Z1401333862	12774754	CN1C=CC(=N1)NCC2=CC=CC=C2
Z30272547		
Z56347187	767363	C1=CC=C(C=C1)NC2=NN=CS2
Z1349163663	75377045	CN(C1CCC1)C2=NN=C(C=C2)C(=O)N
Z32386228		
Z235361235	2776562	C1COCCN1C2=CC=CC=C2CO
Z57261895		
Z1551999220		
Z28226359	898656	COC(=O)C1=CC=C(C=C1)NC(=O)C2CCCC2
Z52425517	717037	CCCC1=NN=C(S1)NC(=O)C2=CC=CC=N2
Z2697514548		
Z56772132	2999262	CC1(C(=O)NC(=O)N1)CCC2=CC=C(C=C2)OC
Z19735904	832666	C1CCC(CC1)NC(=O)COC2=CC=CC=C2
Z2856434805		
Z31244728		
Z19735067		
Z1416571195	75380155	C1C=CCC1NC2=NC=CC(=C2)C(=O)N
Z208334100		
Z1954800564		
Z31480458		
Z31385861	886440	CC(C)NC(=O)C1=NC2=CC=CC=C2C=C1
Z281077318		
Z28173817		
Z54226006	588246	C1CCN(C1)C(=O)C2=C(C=CC=C2F)F
Z1407673036	23502069	CC(CS(=O)(=O)N)C1=CC=CC=C1
Z53834613		
Z190662888	690675	COC1=CC=C(C=C1)CNC(=O)CC#N
Z1152242726		
Z815264062	43141390	CN1C=C(C(=N1)C2=CC=NC=C2)C(=O)O
Z53860899		
Z44586802		
Z1148747945	2784745	CC1=C(C=CN=C1)NC(=O)C
Z2856434836		
Z24758179	2806372	COC(=O)C1=CC(=CC=C1)NS(=O)(=O)C
Z19234337	1506457	COC(=O)COC1=CC=C(C=C1)C#N
Z291279160	2732749	C1=CC=C(C(=C1)NC(=S)N)OC(F)(F)F
Z1827602749		
Z57324924		
Z26548083	16383207	CC(C)C(=O)NC1=CC=CC(=C1)C#N
Z437584380		
Z2856434812		
Z1507502062		
Z30620520		
Z1134990241	56827279	CC1=CC(=O)N(C=C1)CC2=CSC(=N2)C
Z2856434887		
Z1381484542	91654349	CCCN1C(=CC=N1)C2=CC=NC=C2
Z26781964		
Z45656995	961874	CS(=O)(=O)NC1=CC=C(C=C1)C(=O)N
Z69092635		
Z111507846		
Z85525355		
Z31222641	1076193	CC1=C(SC2=NC=NC(=C12)N(C)C)C
Z1328968520		
Z730649594		
Z275179946		
Z275165822	258327	CC(=O)N1CCN(CC1)C2=CC=C(C=C2)Cl
Z296054478		
Z2856434778		
Z111810692		
Z53116498	225773	CC1=NC2=CC=CC=C2N1CCC(=O)N
Z123970702		
Z1546887028	75436401	CC(CO)N(C)C1=NC=C(C=N1)Cl
Z71580604	2971018	CC1=CN=C(C=C1)NC(=O)C2CCCO2
Z2856434909		
Z27682767	847760	CCC(=O)NC1=CC=C(C=C1)S(=O)(=O)N
Z729352906	60523291	C1CN(S(=O)(=O)C1)CC2=CC(=CC=C2)F
Z2856434816		
Z1675346324	75506056	CC1=CC(=NC(=N1)C)N(C)C2CC(C2)O
Z28143241	746702	C1=CC(=CC(=C1)F)NC(=O)C2=NC=CN=C2
Z57111868		
Z1688493887		
Z45515569		
Z52584368	9250486	CNC(=O)CNC1=C2C=CSC2=NC=N1
Z1250132788	21019753	CCC(C1=CC=NC=C1)NC
Z44592329		
Z57299529		
Z1945710531	102563924	CC1=C(C=NO1)C2=CSC(=N2)C(C)OC
Z2856434845		
Z2064898339		
Z413792090		
Z1262398388	2735804	C1=CC(=CC=C1C2=CN=CN=C2N)Cl
Z56259192		
Z64450924		
