p1,p2
P78362,Q96SB4
Q9BV94,Q9UKM7
P11021,O75460
Q9H492,Q9BQI3
P11021,Q9NZJ5
O43462,Q14703
Q9H0Y0,O95352
Q676U5,Q8NAA4
Q5MNZ9,Q9HBF4
P59635,P59637
Q89226299,YP_009825053
P05023,P05026
P37173,P36897
Q80H93,Q7TFA0
P61160,Q13873
Q13158,Q13546
P45984,P45983
P00709,P15291
P30876,P24928
Q9BT78,Q9UBW8
P98095,P35555
A6MI22,P17735
P15533,O00635
Q14142,P36406
P14373,P19474
Q16611,O75460
O75460,Q07812
Q9BXH1,Q96PG8
Q14790,Q13158
Q8IUD6,Q14258
O14920,O15111
P17301,P05556
P22557,P13196
P62877,Q13618
Q9HAN9,Q96T66
P06400,P0C6X7
P17844,P0C6X7
P40337,P0C6X7
Q80H93,Q9GZQ8
P0DTD1,P17844
P0DTD1,P40337
P0DTD1,P06400
P17861,P35638
O75385,Q8IYT8
P30556,Q9BYF1
P05161,Nsp3
Q9UBX5,Q08397
Q96F45,P61962
P25101,P05305
Q9HD40,P0DTD1
P0DTD1,Q8NEJ9
O00548,Q86YT6
Q8N0X7,O95831
O76094,P0DTD1
P0DTD1,O14874
Q86YT6,P0DTD1
P0DTD1,Q9NZL9
Q9NXA8,P0C6X7
P0DTD1,O94973
P0DTD1,Q15056
P0DTD1,P00387
Q9NZL9,P29120
P21964,P0DTD1
P0DTD1,Q92615
P61586,P0DTD1
P29120,A0A517FIL8
P0C6X7,Q86TG7
P05305,Q9NRR5
Q9NY61,P0DTD1
P0C6X7,P12268
P15622,P0C6X7
P0DTD1,Q8IWR0
Q96CW1,P0DTD1
P0DTD1,Q9H6F5
P0DTD1,Q96F45
P0DTD1,P61962
P0DTD1,A3KN83
P0DTD1,Q96IZ5
Q8TD19,P0DTD1
P01308,P29120
O43570,P0DTD1
P0DTD1,O95573
P0DTD1,Q96I59
P0DTD1,P55789
Q5VUA4,P0DTD1
P0DTD1,O75592
P05305,Q7L5N1
Q8WTV0,P0DTD1
P51149,P0DTD1
P0DTD1,Q5VW36
P0DTD1,P13984
Q13206,P0DTD1
P0DTD1,P11233
Q8N0X7,P0DTD1
P0DTD1,Q969X5
P05305,P46379
P0DTD1,O00566
P0DTD1,Q9BSC4
P0DTD1,Q99081
P25963,P19838
P0DTC5,O95786
P05121,P00750
P00451,P00740
P00734,P01008
P08697,P00747
Q9ULZ3,O15553
O15553,O43586
