,activity,protein_symbol,protein_name,aid,chembl_id,compound_name
0,activator,P01730,T-cell surface antigen CD4,105411,CHEMBL506605,Isocomplestatin
1,activator,P01730,T-cell surface antigen CD4,106547,CHEMBL525803,Chloropeptin
2,activator,P01730,T-cell surface antigen CD4,106550,CHEMBL3143464,
3,inhibitor,P01730,T-cell surface antigen CD4,346232,CHEMBL3138360,
4,inhibitor,P01730,T-cell surface antigen CD4,346237,CHEMBL3138345,
5,inhibitor,P01730,T-cell surface antigen CD4,349049,CHEMBL3138187,
6,inhibitor,P01730,T-cell surface antigen CD4,351635,CHEMBL3138374,
7,inhibitor,P01730,T-cell surface antigen CD4,360280,CHEMBL3138095,
8,inhibitor,P01730,T-cell surface antigen CD4,373064,CHEMBL3138378,
9,inhibitor,P01730,T-cell surface antigen CD4,375870,CHEMBL3138119,
10,inhibitor,P01730,T-cell surface antigen CD4,1911291,CHEMBL231224,
11,inhibitor,P01730,T-cell surface antigen CD4,1911292,CHEMBL267655,
12,inhibitor,P01730,T-cell surface antigen CD4,1911293,CHEMBL388209,
13,inhibitor,P01730,T-cell surface antigen CD4,1911294,CHEMBL230799,
14,inhibitor,P01730,T-cell surface antigen CD4,1911295,CHEMBL267658,
15,inhibitor,P01730,T-cell surface antigen CD4,1911296,CHEMBL388208,
16,inhibitor,P01730,T-cell surface antigen CD4,1911297,CHEMBL267657,
17,inhibitor,P01730,T-cell surface antigen CD4,1911298,CHEMBL230798,
18,inhibitor,P01730,T-cell surface antigen CD4,1911299,CHEMBL388207,
19,inhibitor,P01730,T-cell surface antigen CD4,1911300,CHEMBL230796,
20,activator,P01730,T-cell surface antigen CD4,20710180,CHEMBL1852155,
21,activator,P01730,T-cell surface antigen CD4,22435351,CHEMBL1819181,Cyclotriazadisulfonamide hydrochloride
22,inhibitor,P01730,T-cell surface antigen CD4,22435352,CHEMBL4783030,
23,activator,P01730,T-cell surface antigen CD4,22435353,CHEMBL4755141,
24,activator,P01730,T-cell surface antigen CD4,22435354,CHEMBL4783761,
25,inhibitor,P01730,T-cell surface antigen CD4,22435355,CHEMBL4750160,
26,inhibitor,P01730,T-cell surface antigen CD4,22435356,CHEMBL4743003,
27,inhibitor,P01730,T-cell surface antigen CD4,22435357,CHEMBL4782080,
28,activator,P01730,T-cell surface antigen CD4,22435358,CHEMBL4746252,
29,activator,P01730,T-cell surface antigen CD4,22435359,CHEMBL4747494,
30,activator,P01730,T-cell surface antigen CD4,22435360,CHEMBL4758659,
31,activator,P01730,T-cell surface antigen CD4,22435361,CHEMBL4750983,
32,activator,P01730,T-cell surface antigen CD4,22435362,CHEMBL4786809,
33,activator,P01730,T-cell surface antigen CD4,22435363,CHEMBL4748787,
34,inhibitor,P01730,T-cell surface antigen CD4,22435364,CHEMBL4785236,
35,activator,P01730,T-cell surface antigen CD4,22435365,CHEMBL4791666,
36,inhibitor,P00387,NADH-cytochrome b5 reductase,19493895,CHEMBL4525466,
37,inhibitor,Q14653,Interferon regulatory factor 3,18928390,CHEMBL4471585,
38,activator,O43865,Adenosylhomocysteinase 2,16449802,CHEMBL2059155,
39,activator,O43865,Adenosylhomocysteinase 2,16449803,CHEMBL3753637,
40,activator,O43865,Adenosylhomocysteinase 2,16449805,CHEMBL3753746,
41,inhibitor,O43865,Adenosylhomocysteinase 2,16449806,CHEMBL3754027,
42,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,37517,CHEMBL3144029,
43,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,37522,CHEMBL348359,
44,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,18777375 | 39949 | 490698 | 2575557 | 2001007 | 92925 | 2008219 | 3596393 | 2259929 | 1747048 | 928730 | 5241977,CHEMBL866,Mycophenolic acid
45,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,49855,CHEMBL608195,
46,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,5241978 | 13868083 | 49860 | 2575569 | 2001006 | 1752492,CHEMBL410744,
47,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,66524,CHEMBL608194,
48,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,66529,CHEMBL162782,
49,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,1752494 | 70408,CHEMBL2311206,
50,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,71651,CHEMBL3144028,
51,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,475080,CHEMBL65013,
52,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,478731,CHEMBL23843,
53,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,484902,CHEMBL347721,
54,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,488383,CHEMBL150777,
55,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,501339,CHEMBL152959,
56,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,501343,CHEMBL358876,
57,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,511020,CHEMBL152988,
58,activator,P20839,Inosine-5'-monophosphate dehydrogenase 1,655868,CHEMBL23716,
59,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,909123,CHEMBL169198,
60,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,909127,CHEMBL167966,
61,inhibitor,P20839,Inosine-5'-monophosphate dehydrogenase 1,910534,CHEMBL170557,
