nsp1	GHMnsp5	nsp3e	nsp3a	nsp9	nsp7	nsp8	nsp3c (SUD-N)	nsp3c (SUD-MC)	ORF9a (NTD)	ORF9a (IDR-NTD-SR)	nsp3b	nsp2 (CtDR)	nsp3b|GS-441524	nsp3d	His6nsp15	GSnsp5	ORF9a (CTD)	nsp10	ORF9a (NTD-SR)	nsp10|nsp16	ORF9b	nsp3y
Z26365442	Z2527301677	Z136583524	Z57515803	Z1374778753	Z26365442	Z1381484542	Z281077318	Z56347187	Z1250132788	Z2856434851	Z52425517	Z1250132788	Z52425517	Z26365442	Z48847639	Z336089202	Z396380540	Z26365442	Z19234337	Z111782404	Z336089202	Z336089202
Z336089202	Z1263529721	Z145119960	Z57715447	Z1891776064	Z336089202	Z56983806	Z235449082	Z235449082	Z281077318	Z52425517	Z2204875953	Z57345491	Z276545932	Z336089202	Z71580604	Z933326822	Z1374778753	Z336089202	Z1891776064	Z1152242726	Z1891776064	Z1741973467
Z57515803	Z275165822	Z52425517	Z32386228		Z28226359	Z32665176	Z136583524	Z1374778753	Z426041412	Z57261895	Z1124201124	Z136583524	Z2856434839	Z26548083	Z57345491	Z31792168	Z1263529721	Z1374778753	Z281077318	Z1190787729	Z1374778753	Z28226359
Z1891776064	Z933326822	Z2856434839	Z32665176		Z276545932	Z1349163663	Z1134990241	Z1891776064	Z30272547	Z145119960		Z1827602749	Z2467208649	Z56767623	Z336089202	Z223388508	Z2856434816	Z58982727	Z1134990241	Z1217741507	Z58982727	Z235449082
Z57328997	Z85517292	Z1148747945	Z48847639		Z281077318	Z26365442	Z57260539	Z281077318	Z45656995	Z45656995		Z86417414	Z2856434858	Z276545932	Z44592329	Z57299526	Z145119960	Z1891776064	Z1263529721	Z123970702	Z1263529721	Z2027049478
	Z208334100	Z111507846	Z1891776064		Z56347187	Z336089202	Z2856434937	Z62645406	Z57260539	Z57260539		Z45656995		Z281077318	Z26333434	Z208334100	Z359352902	Z1152242726		Z1262398388	Z2467208649	Z57261895
	Z437584380	Z86417414	Z57328997		Z235449082	Z57515803	Z1374778753	Z26781952	Z59181945	Z1263529721		Z32386228		Z26251905	Z57515803	Z979145504	Z30272547	Z56791867		Z133729708	Z27805986	Z274555566
	Z979145504	Z815264062	Z48847594		Z28290384	Z57715447	Z1945710531	Z26365442	Z212122838			Z2856434816		Z1891773393	Z58982727	Z123970702	Z86417414	Z56347187		Z1374778753	Z2856434816	Z1374778753
	Z1673618163	Z45656995	Z30891796		Z136583524	Z48847594	Z48847639	Z336089202	Z2856434896			Z56259166		Z45527714	Z1891776064	Z1891776064	Z1362754425	Z235449082		Z1381484542		Z45516134
	Z69092635	Z57261895	Z57190020		Z26333434	Z58982727	Z1891776064	Z111782404	Z1263529721			Z19751622		Z219104216	Z1787627869	Z2856434865		Z208334100		Z1401333862		Z26781943
	Z123970702	Z1310876699	Z58982727		Z1432018343	Z1891776064		Z102895082	Z56259192			Z426041412		Z2856434779	Z31432226	Z45617795		Z437584380		Z1416571195		Z2856434805
	Z1891776064	Z2856434887	Z26365442		Z1551999220	Z57328997		Z28226359	Z2467208649			Z145119960		Z30820160	Z2064107709	Z1152242726		Z979145504		Z1429867185		Z56837087
	Z223388508	Z2856434855	Z336089202		Z933326822	Z57345491		Z19727416	Z2856434858			Z359352902		Z57260516	Z26365442			Z1802166390		Z1545196403		Z1891776064
	Z57792053	Z57190020	Z133729708		Z30272547	Z31432226		Z26548083	Z730649594			Z2856434875		Z425449682	Z48847594			Z62645406		Z1551999220		Z31697001
	Z26365442	Z281802060			Z1429867185	Z1741973467		Z56767623	Z57614330			Z2856434896		Z235449082	Z28226359			Z69118333		Z1563512128		Z1688493887
	Z336089202	Z1262327505			Z1262398388	Z28226359		Z276545932	Z2856434816			Z1263529721		Z28290384	Z19735067			Z123970702		Z1581680287		Z56259166
	Z1741973467	Z1250132788			Z56983806	Z26548083		Z26251905	Z26548083			Z2467208649		Z26781964	Z426041412			Z27653940		Z165170770		Z57345491
	Z28226359	Z2856434812			Z57515803	Z276545932		Z45527714	Z136583524			Z2856434851		Z30871350	Z933326822			Z45516134		Z1688493887		Z26365442
	Z44592329	Z2856434851			Z57715447	Z281077318		Z19735067	Z26333434			Z57299526		Z136583524	Z30272547			Z48847594		Z1741960769		Z19727416
	Z26333434	Z321318226			Z2204875953	Z426041412		Z219104216	Z332370018					Z190662888	Z86417414			Z1416571195		Z1741973467		Z45527714
	Z165170770	Z2856434816			Z32386228	Z136583524		Z2856434779	Z52584368					Z44592329	Z1262398388			Z48847639		Z18839017		Z426041412
	Z907784200				Z28173817	Z52584368		Z30820160	Z145119960					Z26333434	Z396380540			Z31432226		Z1891776064		Z28143241
	Z822382694				Z68404778	Z359352902		Z425449682	Z52425517					Z1551999220	Z57715447			Z57328997		Z1945710531		Z26333434
	Z31792168				Z1430613393	Z30272547		Z56791867	Z2856434839					Z1896598013	Z2204875953			Z57299529		Z1954800564		Z332370018
	Z2856434834				Z62645406	Z2204875953		Z27797417	Z2377835233					Z2301438417	Z57261895			Z2856434851		Z19727416		Z145119960
	Z296054478				Z69118333	Z32386228		Z271004858	Z1134990241					Z85517292	Z68404778			Z730649594		Z19735904		Z2446040567
