# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0054"(fluorescence-activated cell sorting)	Wanbo Tai et al.(2020)	intact:EBI-25474606|pubmed:32203189|imex:IM-27821	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25474973|imex:IM-27821-3	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Shang J. et al.(2020)	intact:EBI-25639330|pubmed:32376634|imex:IM-28056	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25640180|imex:IM-28056-9	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0054"(fluorescence-activated cell sorting)	Wanbo Tai et al.(2020)	intact:EBI-25474606|pubmed:32203189|imex:IM-27821	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25475195|imex:IM-27821-17	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Shang J. et al.(2020)	intact:EBI-25639330|pubmed:32376634|imex:IM-28056	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25640146|imex:IM-28056-3	-
uniprotkb:Q9BYF1	uniprotkb:Q6Q1S2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	uniprotkb:Q5DIX7|uniprotkb:Q5DIX8|uniprotkb:Q5DIX9|uniprotkb:Q5DIY0|uniprotkb:Q6R1L7|intact:EBI-15814420|uniprotkb:Q6Q1S2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_cvhnl(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)|uniprotkb:S(gene name)	psi-mi:"MI:0114"(x-ray crystallography)	Wu K. et al.(2009)	intact:EBI-15814399|doi:10.1073/pnas.0908837106|pubmed:19901337|imex:IM-14877	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:277944(cvhnl)|taxid:277944(Human coronavirus NL63)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15814483|dip:DIP-104200E|imex:IM-14877-2	-
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Lu G. et al.(2013)	intact:EBI-16063716|doi:10.1038/nature12328|pubmed:23831647|imex:IM-21830	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16063780|dip:DIP-192226E|imex:IM-21830-3	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0054"(fluorescence-activated cell sorting)	Wanbo Tai et al.(2020)	intact:EBI-25474606|pubmed:32203189|imex:IM-27821	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25474816|imex:IM-27821-1	-
uniprotkb:Q14155	uniprotkb:Q14160	ensembl:ENSP00000364893.2|uniprotkb:B1ALK6|uniprotkb:B1ALK8|uniprotkb:Q3LIA4|uniprotkb:Q5W9H0|uniprotkb:Q6P9G3|uniprotkb:Q6PII2|uniprotkb:Q86W63|uniprotkb:Q8N3M1|intact:EBI-717515|uniprotkb:Q14155	uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1|ensembl:ENSP00000322938.3|ensembl:ENSP00000482406.1|intact:EBI-357345|uniprotkb:Q14160	psi-mi:arhg7_human(display_short)|psi-mi:Rho guanine nucleotide exchange factor 7(display_long)|uniprotkb:ARHGEF7(gene name)|uniprotkb:PIXB(gene name synonym)|uniprotkb:PAK3BP(gene name synonym)|uniprotkb:P85SPR(gene name synonym)|uniprotkb:KIAA0142(gene name synonym)|uniprotkb:COOL1(gene name synonym)|uniprotkb:Nbla10314(orf name)|uniprotkb:p85(gene name synonym)|uniprotkb:COOL-1(gene name synonym)|uniprotkb:Beta-Pix(gene name synonym)|uniprotkb:PAK-interacting exchange factor beta(gene name synonym)	psi-mi:scrib_human(display_short)|psi-mi:Protein scribble homolog(display_long)|uniprotkb:Scrib(gene name)|uniprotkb:Protein LAP4(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:Kiaa0147(gene name synonym)|uniprotkb:CRIB1(gene name synonym)	psi-mi:"MI:0084"(phage display)	Ivarsson Y. et al.(2014)	intact:EBI-11668009|pubmed:24550280|imex:IM-25074	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11791897|imex:IM-25074-150	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0114"(x-ray crystallography)	Lan J et al.(2020)	intact:EBI-25474738|pubmed:32225176|imex:IM-27816	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25475360|wwpdb:6m0j|imex:IM-27816-1	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Shang J. et al.(2020)	intact:EBI-25639330|pubmed:32376634|imex:IM-28056	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25640134|imex:IM-28056-1	-
